Element,Direction,Pat,Major_Functional_Class,TERM
IFN-y,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of epithelial cell migration
IFN-y,Decrease,Pat1Micsta,Resolution,negative regulation of epithelial cell differentiation
IFN-y,Decrease,Pat1Micsta,Resolution,negative regulation of interleukin-17 production
IFN-y,Decrease,Pat1Micsta,Tissue destruction,positive regulation of smooth muscle cell apoptotic process
IFN-y,Decrease,Pat1Micsta,Bone remodeling,positive regulation of osteoclast differentiation
IFN-y,Decrease,Pat1Micsta,Resolution,negative regulation of DNA-templated transcription
IFN-y,Decrease,Pat1Micsta,Immune cell activation,astrocyte activation
IFN-y,Decrease,Pat1Micsta,Immune cell amplification,negative regulation of smooth muscle cell proliferation
IFN-y,Decrease,Pat1Micsta,Tissue destruction,extrinsic apoptotic signaling pathway
IFN-y,Decrease,Pat1Micsta,Resolution,negative regulation of amyloid-beta clearance
GRO,Decrease,Pat1Micsta,Immune cell positioning,chemotaxis
GRO,Decrease,Pat1Micsta,Immune cell amplification,negative regulation of cell population proliferation
IL-10,Decrease,Pat1Micsta,Immune cell activation,negative regulation of cytokine production
IL-10,Decrease,Pat1Micsta,Immune cell activation,positive regulation of cytokine production
IL-10,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of endothelial cell proliferation
IL-10,Decrease,Pat1Micsta,Immune cell activation,negative regulation of cytokine production involved in immune response
IL-10,Decrease,Pat1Micsta,Resolution,negative regulation of chronic inflammatory response to antigenic stimulus
IL-10,Decrease,Pat1Micsta,Tissue destruction,positive regulation of B cell apoptotic process
IL-10,Decrease,Pat1Micsta,Immune cell amplification,negative regulation of cell population proliferation
IL-10,Decrease,Pat1Micsta,Resolution,negative regulation of autophagy
IL-10,Decrease,Pat1Micsta,Immune cell positioning,leukocyte chemotaxis
IL-10,Decrease,Pat1Micsta,Immune cell activation,negative regulation of myeloid dendritic cell activation
IL-10,Decrease,Pat1Micsta,Immune cell amplification,negative regulation of B cell proliferation
IL-10,Decrease,Pat1Micsta,Resolution,negative regulation of interferon-alpha production
IL-10,Decrease,Pat1Micsta,Resolution,negative regulation of type II interferon production
IL-10,Decrease,Pat1Micsta,Resolution,negative regulation of interleukin-1 production
IL-10,Decrease,Pat1Micsta,Resolution,negative regulation of interleukin-12 production
IL-10,Decrease,Pat1Micsta,Resolution,negative regulation of interleukin-18 production
IL-10,Decrease,Pat1Micsta,Resolution,negative regulation of interleukin-6 production
IL-10,Decrease,Pat1Micsta,Resolution,negative regulation of interleukin-8 production
IL-10,Decrease,Pat1Micsta,Resolution,negative regulation of tumor necrosis factor production
IL-10,Decrease,Pat1Micsta,Resolution,negative regulation of heterotypic cell-cell adhesion
IL-10,Decrease,Pat1Micsta,Immune cell amplification,B cell proliferation
IL-10,Decrease,Pat1Micsta,Immune cell amplification,negative regulation of T cell proliferation
IL-10,Decrease,Pat1Micsta,Immune cell activation,positive regulation of macrophage activation
IL-10,Decrease,Pat1Micsta,Resolution,negative regulation of apoptotic process
IL-10,Decrease,Pat1Micsta,Resolution,negative regulation of nitric oxide biosynthetic process
IL-10,Decrease,Pat1Micsta,Resolution,negative regulation of MHC class II biosynthetic process
IL-10,Decrease,Pat1Micsta,Resolution,negative regulation of mitotic cell cycle
IL-10,Decrease,Pat1Micsta,Immune cell activation,positive regulation of receptor signaling pathway via JAK-STAT
IL-10,Decrease,Pat1Micsta,Resolution,negative regulation of inflammatory response
IL-10,Decrease,Pat1Micsta,Resolution,negative regulation of membrane protein ectodomain proteolysis
IL-10,Decrease,Pat1Micsta,Resolution,negative regulation of cytokine activity
IL-10,Decrease,Pat1Micsta,Resolution,negative regulation of chemokine (C-C motif) ligand 5 production
IL-10,Decrease,Pat1Micsta,Tissue destruction,endothelial cell apoptotic process
IL-10,Decrease,Pat1Micsta,Tissue construction / repair,liver regeneration
IL-10,Decrease,Pat1Micsta,Resolution,negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway
IL-10,Decrease,Pat1Micsta,Tissue construction / repair,positive regulation of sprouting angiogenesis
IL-10,Decrease,Pat1Micsta,Immune cell amplification,negative regulation of vascular associated smooth muscle cell proliferation
IL-10,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of vascular associated smooth muscle cell proliferation
MCP-3,Decrease,Pat1Micsta,Immune cell positioning,monocyte chemotaxis
MCP-3,Decrease,Pat1Micsta,Immune cell positioning,chemotaxis
MCP-3,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of cell migration
MCP-3,Decrease,Pat1Micsta,Immune cell positioning,eosinophil chemotaxis
MCP-3,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of natural killer cell chemotaxis
IL-12p40,Decrease,Pat1Micsta,Immune cell activation,regulation of cytokine production
IL-12p40,Decrease,Pat1Micsta,Immune cell activation,natural killer cell activation involved in immune response
IL-12p40,Decrease,Pat1Micsta,Resolution,negative regulation of inflammatory response to antigenic stimulus
IL-12p40,Decrease,Pat1Micsta,Immune cell activation,cell surface receptor signaling pathway via JAK-STAT
IL-12p40,Decrease,Pat1Micsta,Immune cell positioning,cell migration
IL-12p40,Decrease,Pat1Micsta,Immune cell activation,natural killer cell activation
IL-12p40,Decrease,Pat1Micsta,Resolution,negative regulation of interleukin-10 production
IL-12p40,Decrease,Pat1Micsta,Resolution,negative regulation of interleukin-17 production
IL-12p40,Decrease,Pat1Micsta,Immune cell activation,positive regulation of natural killer cell activation
IL-12p40,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of natural killer cell proliferation
IL-12p40,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of mononuclear cell proliferation
IL-12p40,Decrease,Pat1Micsta,Tissue destruction,positive regulation of smooth muscle cell apoptotic process
IL-12p40,Decrease,Pat1Micsta,Immune cell amplification,T cell proliferation
IL-12p40,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of T cell proliferation
IL-12p40,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of activated T cell proliferation
IL-12p40,Decrease,Pat1Micsta,Bone remodeling,positive regulation of osteoclast differentiation
IL-12p40,Decrease,Pat1Micsta,Immune cell amplification,negative regulation of smooth muscle cell proliferation
IL-12p40,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of lymphocyte proliferation
IL-12p40,Decrease,Pat1Micsta,Resolution,negative regulation of protein secretion
IL-12p40,Decrease,Pat1Micsta,Immune cell activation,positive regulation of NK T cell activation
IL-12p40,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of NK T cell proliferation
IL-12p40,Decrease,Pat1Micsta,Resolution,negative regulation of vascular endothelial growth factor signaling pathway
IL-12p40,Decrease,Pat1Micsta,Immune cell amplification,negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis
MDC,Decrease,Pat1Micsta,Immune cell positioning,chemotaxis
MDC,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of cell migration
MDC,Decrease,Pat1Micsta,Immune cell positioning,eosinophil chemotaxis
IL-12p70,Decrease,Pat1Micsta,Immune cell positioning,cell migration
IL-12p70,Decrease,Pat1Micsta,Resolution,negative regulation of interleukin-17 production
IL-12p70,Decrease,Pat1Micsta,Immune cell activation,positive regulation of natural killer cell activation
IL-12p70,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of mononuclear cell proliferation
IL-12p70,Decrease,Pat1Micsta,Tissue destruction,positive regulation of smooth muscle cell apoptotic process
IL-12p70,Decrease,Pat1Micsta,Immune cell amplification,negative regulation of smooth muscle cell proliferation
IL-12p70,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of lymphocyte proliferation
IL-12p70,Decrease,Pat1Micsta,Resolution,negative regulation of protein secretion
IL-12p70,Decrease,Pat1Micsta,Immune cell activation,positive regulation of NK T cell activation
IL-12p70,Decrease,Pat1Micsta,Tissue destruction,extrinsic apoptotic signaling pathway
IL-12p70,Decrease,Pat1Micsta,Resolution,negative regulation of vascular endothelial growth factor signaling pathway
IL-12p70,Decrease,Pat1Micsta,Immune cell amplification,negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis
IL-12p70,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of dendritic cell chemotaxis
IL-13,Decrease,Pat1Micsta,Immune cell activation,microglial cell activation
IL-13,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of B cell proliferation
IL-13,Decrease,Pat1Micsta,Immune cell activation,macrophage activation
IL-13,Decrease,Pat1Micsta,Immune cell activation,positive regulation of macrophage activation
IL-13,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of smooth muscle cell proliferation
IL-13,Decrease,Pat1Micsta,Resolution,negative regulation of inflammatory response
IL-13,Decrease,Pat1Micsta,Resolution,negative regulation of transforming growth factor beta production
IL-13,Decrease,Pat1Micsta,Resolution,negative regulation of lung ciliated cell differentiation
IL-13,Decrease,Pat1Micsta,Resolution,negative regulation of complement-dependent cytotoxicity
IL-13,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of pancreatic stellate cell proliferation
IL-13,Decrease,Pat1Micsta,Resolution,negative regulation of endothelial cell apoptotic process
IL-15,Decrease,Pat1Micsta,Immune cell amplification,natural killer cell proliferation
IL-15,Decrease,Pat1Micsta,Immune cell activation,positive regulation of cytokine production
IL-15,Decrease,Pat1Micsta,Immune cell amplification,NK T cell proliferation
IL-15,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of cell population proliferation
IL-15,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of natural killer cell proliferation
IL-15,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of T cell proliferation
IL-15,Decrease,Pat1Micsta,Immune cell activation,neutrophil activation
IL-15,Decrease,Pat1Micsta,Resolution,negative regulation of cold-induced thermogenesis
IL-17A,Decrease,Pat1Micsta,Tissue destruction,apoptotic process
IL-17A,Decrease,Pat1Micsta,Tissue destruction,cell death
IL-17A,Decrease,Pat1Micsta,Immune cell amplification,keratinocyte proliferation
IL-17A,Decrease,Pat1Micsta,Immune cell activation,innate immune response
IL-17A,Decrease,Pat1Micsta,Bone remodeling,positive regulation of osteoclast differentiation
IL-17A,Decrease,Pat1Micsta,Tissue construction / repair,intestinal epithelial structure maintenance
IL-17A,Decrease,Pat1Micsta,Immune cell activation,fibroblast activation
IL-17A,Decrease,Pat1Micsta,Immune cell positioning,granulocyte migration
IL-17A,Decrease,Pat1Micsta,Resolution,negative regulation of inflammatory response to wounding
IL-17A,Decrease,Pat1Micsta,Immune cell activation,positive regulation of cytokine production involved in inflammatory response
IL-2,Decrease,Pat1Micsta,Immune cell activation,leukocyte activation involved in immune response
IL-2,Decrease,Pat1Micsta,Resolution,negative regulation of B cell apoptotic process
IL-2,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of cell population proliferation
IL-2,Decrease,Pat1Micsta,Immune cell activation,natural killer cell activation
IL-2,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of B cell proliferation
IL-2,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of activated T cell proliferation
IL-2,Decrease,Pat1Micsta,Resolution,negative regulation of apoptotic process
IL-2,Decrease,Pat1Micsta,Immune cell amplification,regulation of T cell homeostatic proliferation
IL-2,Decrease,Pat1Micsta,Immune cell amplification,negative regulation of lymphocyte proliferation
IL-2,Decrease,Pat1Micsta,Resolution,negative regulation of inflammatory response
IL-2,Decrease,Pat1Micsta,Immune cell amplification,activated T cell proliferation
IL-2,Decrease,Pat1Micsta,Tissue destruction,extrinsic apoptotic signaling pathway in absence of ligand
IL-2,Decrease,Pat1Micsta,Resolution,negative regulation of T-helper 17 cell differentiation
IL-2,Decrease,Pat1Micsta,Immune cell amplification,"regulation of CD4-positive, alpha-beta T cell proliferation"
IL-6,Decrease,Pat1Micsta,Tissue destruction,neutrophil apoptotic process
IL-6,Decrease,Pat1Micsta,Immune cell positioning,monocyte chemotaxis
IL-6,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of leukocyte chemotaxis
IL-6,Decrease,Pat1Micsta,Immune cell activation,cell surface receptor signaling pathway via JAK-STAT
IL-6,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of cell population proliferation
IL-6,Decrease,Pat1Micsta,Immune cell amplification,negative regulation of cell population proliferation
IL-6,Decrease,Pat1Micsta,Tissue construction / repair,positive regulation of epithelial to mesenchymal transition
IL-6,Decrease,Pat1Micsta,Resolution,negative regulation of lipid storage
IL-6,Decrease,Pat1Micsta,Immune cell activation,platelet activation
IL-6,Decrease,Pat1Micsta,Resolution,negative regulation of chemokine production
IL-6,Decrease,Pat1Micsta,Resolution,negative regulation of collagen biosynthetic process
IL-6,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of T cell proliferation
IL-6,Decrease,Pat1Micsta,Tissue destruction,positive regulation of apoptotic process
IL-6,Decrease,Pat1Micsta,Resolution,negative regulation of apoptotic process
IL-6,Decrease,Pat1Micsta,Resolution,negative regulation of fat cell differentiation
IL-6,Decrease,Pat1Micsta,Bone remodeling,positive regulation of osteoblast differentiation
IL-6,Decrease,Pat1Micsta,Tissue construction / repair,regulation of angiogenesis
IL-6,Decrease,Pat1Micsta,Resolution,negative regulation of bone resorption
IL-6,Decrease,Pat1Micsta,Immune cell activation,positive regulation of receptor signaling pathway via JAK-STAT
IL-6,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of smooth muscle cell proliferation
IL-6,Decrease,Pat1Micsta,Resolution,negative regulation of neurogenesis
IL-6,Decrease,Pat1Micsta,Immune cell activation,positive regulation of B cell activation
IL-6,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of glial cell proliferation
IL-6,Decrease,Pat1Micsta,Immune cell activation,regulation of astrocyte activation
IL-6,Decrease,Pat1Micsta,Immune cell amplification,hepatocyte proliferation
IL-6,Decrease,Pat1Micsta,Tissue construction / repair,liver regeneration
IL-6,Decrease,Pat1Micsta,Immune cell activation,positive regulation of cytokine production involved in inflammatory response
IL-6,Decrease,Pat1Micsta,Tissue destruction,positive regulation of apoptotic DNA fragmentation
IL-6,Decrease,Pat1Micsta,Immune cell activation,regulation of microglial cell activation
IL-6,Decrease,Pat1Micsta,Immune cell activation,positive regulation of T-helper 2 cell cytokine production
IL-6,Decrease,Pat1Micsta,Resolution,negative regulation of primary miRNA processing
IL-6,Decrease,Pat1Micsta,Resolution,negative regulation of interleukin-1-mediated signaling pathway
IL-6,Decrease,Pat1Micsta,Tissue destruction,positive regulation of type B pancreatic cell apoptotic process
IL-7,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of cell population proliferation
IL-7,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of B cell proliferation
IL-7,Decrease,Pat1Micsta,Immune cell amplification,B cell proliferation
IL-7,Decrease,Pat1Micsta,Resolution,negative regulation of apoptotic process
IL-7,Decrease,Pat1Micsta,Tissue destruction,bone resorption
IL-7,Decrease,Pat1Micsta,Tissue destruction,extrinsic apoptotic signaling pathway
IL-7,Decrease,Pat1Micsta,Resolution,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
IL-8,Decrease,Pat1Micsta,Tissue construction / repair,angiogenesis
IL-8,Decrease,Pat1Micsta,Immune cell positioning,chemotaxis
IL-8,Decrease,Pat1Micsta,Immune cell amplification,negative regulation of cell population proliferation
IL-8,Decrease,Pat1Micsta,Resolution,negative regulation of gene expression
IL-8,Decrease,Pat1Micsta,Immune cell positioning,neutrophil chemotaxis
IL-8,Decrease,Pat1Micsta,Immune cell activation,neutrophil activation
IL-8,Decrease,Pat1Micsta,Resolution,negative regulation of G protein-coupled receptor signaling pathway
IL-8,Decrease,Pat1Micsta,Tissue construction / repair,positive regulation of angiogenesis
IL-8,Decrease,Pat1Micsta,Immune cell positioning,induction of positive chemotaxis
IL-8,Decrease,Pat1Micsta,Resolution,negative regulation of cell adhesion molecule production
IL-8,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of neutrophil chemotaxis
IP-10,Decrease,Pat1Micsta,Immune cell positioning,chemotaxis
IP-10,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of cell population proliferation
IP-10,Decrease,Pat1Micsta,Immune cell positioning,T cell chemotaxis
IP-10,Decrease,Pat1Micsta,Immune cell positioning,regulation of T cell chemotaxis
IP-10,Decrease,Pat1Micsta,Resolution,negative regulation of angiogenesis
IP-10,Decrease,Pat1Micsta,Immune cell positioning,neutrophil chemotaxis
IP-10,Decrease,Pat1Micsta,Immune cell activation,endothelial cell activation
IP-10,Decrease,Pat1Micsta,Immune cell amplification,regulation of cell population proliferation
IP-10,Decrease,Pat1Micsta,Tissue destruction,regulation of apoptotic process
IP-10,Decrease,Pat1Micsta,Resolution,negative regulation of myoblast differentiation
IP-10,Decrease,Pat1Micsta,Immune cell positioning,positive chemotaxis
IP-10,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of monocyte chemotaxis
IP-10,Decrease,Pat1Micsta,Immune cell activation,antiviral innate immune response
IP-10,Decrease,Pat1Micsta,Resolution,negative regulation of myoblast fusion
IP-10,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of T cell migration
MCP-1,Decrease,Pat1Micsta,Tissue construction / repair,angiogenesis
MCP-1,Decrease,Pat1Micsta,Immune cell positioning,monocyte chemotaxis
MCP-1,Decrease,Pat1Micsta,Immune cell positioning,chemotaxis
MCP-1,Decrease,Pat1Micsta,Immune cell activation,cell surface receptor signaling pathway via JAK-STAT
MCP-1,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of cell migration
MCP-1,Decrease,Pat1Micsta,Resolution,negative regulation of glial cell apoptotic process
MCP-1,Decrease,Pat1Micsta,Resolution,negative regulation of neuron apoptotic process
MCP-1,Decrease,Pat1Micsta,Immune cell positioning,astrocyte cell migration
MCP-1,Decrease,Pat1Micsta,Immune cell positioning,eosinophil chemotaxis
MCP-1,Decrease,Pat1Micsta,Immune cell positioning,macrophage chemotaxis
MCP-1,Decrease,Pat1Micsta,Immune cell activation,positive regulation of T cell activation
MCP-1,Decrease,Pat1Micsta,Immune cell amplification,negative regulation of vascular endothelial cell proliferation
MCP-1,Decrease,Pat1Micsta,Resolution,negative regulation of G1/S transition of mitotic cell cycle
MCP-1,Decrease,Pat1Micsta,Tissue destruction,positive regulation of endothelial cell apoptotic process
MCP-1,Decrease,Pat1Micsta,Tissue destruction,positive regulation of apoptotic cell clearance
MCP-1,Decrease,Pat1Micsta,Immune cell positioning,negative regulation of natural killer cell chemotaxis
MIP-1A,Decrease,Pat1Micsta,Bone remodeling,osteoblast differentiation
MIP-1A,Decrease,Pat1Micsta,Immune cell activation,cell activation
MIP-1A,Decrease,Pat1Micsta,Immune cell positioning,monocyte chemotaxis
MIP-1A,Decrease,Pat1Micsta,Immune cell positioning,chemotaxis
MIP-1A,Decrease,Pat1Micsta,Resolution,negative regulation of gene expression
MIP-1A,Decrease,Pat1Micsta,Immune cell positioning,T cell chemotaxis
MIP-1A,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of cell migration
MIP-1A,Decrease,Pat1Micsta,Resolution,negative regulation of bone mineralization
MIP-1A,Decrease,Pat1Micsta,Immune cell positioning,neutrophil chemotaxis
MIP-1A,Decrease,Pat1Micsta,Tissue destruction,positive regulation of neuron apoptotic process
MIP-1A,Decrease,Pat1Micsta,Immune cell positioning,astrocyte cell migration
MIP-1A,Decrease,Pat1Micsta,Resolution,negative regulation by host of viral transcription
MIP-1A,Decrease,Pat1Micsta,Resolution,negative regulation of osteoclast differentiation
MIP-1A,Decrease,Pat1Micsta,Immune cell positioning,eosinophil chemotaxis
MIP-1A,Decrease,Pat1Micsta,Immune cell positioning,macrophage chemotaxis
MIP-1A,Decrease,Pat1Micsta,Immune cell positioning,lymphocyte chemotaxis
MIP-1A,Decrease,Pat1Micsta,Immune cell positioning,positive chemotaxis
MIP-1A,Decrease,Pat1Micsta,Immune cell positioning,cell chemotaxis
MIP-1A,Decrease,Pat1Micsta,Immune cell positioning,granulocyte chemotaxis
MIP-1A,Decrease,Pat1Micsta,Immune cell activation,positive regulation of microglial cell activation
MIP-1A,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of microglial cell migration
MIP-1A,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of natural killer cell chemotaxis
MIP-1B,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of cell migration
MIP-1B,Decrease,Pat1Micsta,Resolution,negative regulation by host of viral transcription
MIP-1B,Decrease,Pat1Micsta,Immune cell positioning,eosinophil chemotaxis
MIP-1B,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of natural killer cell chemotaxis
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of transcription by RNA polymerase II
TNF-A,Decrease,Pat1Micsta,Immune cell activation,microglial cell activation
TNF-A,Decrease,Pat1Micsta,Immune cell activation,positive regulation of cytokine production
TNF-A,Decrease,Pat1Micsta,Immune cell amplification,negative regulation of endothelial cell proliferation
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of L-glutamate import across plasma membrane
TNF-A,Decrease,Pat1Micsta,Immune cell activation,macrophage activation involved in immune response
TNF-A,Decrease,Pat1Micsta,Immune cell positioning,leukocyte migration involved in inflammatory response
TNF-A,Decrease,Pat1Micsta,Immune cell activation,negative regulation of cytokine production involved in immune response
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of systemic arterial blood pressure
TNF-A,Decrease,Pat1Micsta,Immune cell activation,cell surface receptor signaling pathway via JAK-STAT
TNF-A,Decrease,Pat1Micsta,Tissue destruction,extrinsic apoptotic signaling pathway via death domain receptors
TNF-A,Decrease,Pat1Micsta,Tissue destruction,intrinsic apoptotic signaling pathway in response to DNA damage
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of heart rate
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of gene expression
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of lipid storage
TNF-A,Decrease,Pat1Micsta,Tissue construction / repair,extracellular matrix organization
TNF-A,Decrease,Pat1Micsta,Bone remodeling,osteoclast differentiation
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of myelination
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of interleukin-6 production
TNF-A,Decrease,Pat1Micsta,Tissue destruction,positive regulation of apoptotic process
TNF-A,Decrease,Pat1Micsta,Tissue destruction,positive regulation of programmed cell death
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of protein-containing complex disassembly
TNF-A,Decrease,Pat1Micsta,Tissue destruction,positive regulation of neuron apoptotic process
TNF-A,Decrease,Pat1Micsta,Immune cell positioning,negative regulation of blood vessel endothelial cell migration
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of viral genome replication
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of fat cell differentiation
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of myoblast differentiation
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of osteoblast differentiation
TNF-A,Decrease,Pat1Micsta,Bone remodeling,positive regulation of osteoclast differentiation
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of DNA-templated transcription
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of mitotic cell cycle
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of D-glucose import
TNF-A,Decrease,Pat1Micsta,Immune cell activation,astrocyte activation
TNF-A,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of smooth muscle cell proliferation
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of neurogenesis
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of lipid catabolic process
TNF-A,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of glial cell proliferation
TNF-A,Decrease,Pat1Micsta,Immune cell amplification,epithelial cell proliferation involved in salivary gland morphogenesis
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of vascular wound healing
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of branching involved in lung morphogenesis
TNF-A,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of mononuclear cell migration
TNF-A,Decrease,Pat1Micsta,Tissue destruction,endothelial cell apoptotic process
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of oxidative phosphorylation
TNF-A,Decrease,Pat1Micsta,Tissue destruction,extrinsic apoptotic signaling pathway
TNF-A,Decrease,Pat1Micsta,Tissue construction / repair,liver regeneration
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of bile acid secretion
TNF-A,Decrease,Pat1Micsta,Immune cell activation,antiviral innate immune response
TNF-A,Decrease,Pat1Micsta,Immune cell activation,positive regulation of cytokine production involved in inflammatory response
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of amyloid-beta clearance
TNF-A,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of synoviocyte proliferation
TNF-A,Decrease,Pat1Micsta,Immune cell activation,positive regulation of neutrophil activation
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of miRNA transcription
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of bicellular tight junction assembly
TNF-A,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of vascular associated smooth muscle cell proliferation
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of signaling receptor activity
TNF-A,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of hepatocyte proliferation
TNF-A,Decrease,Pat1Micsta,Tissue destruction,regulation of endothelial cell apoptotic process
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of apoptotic signaling pathway
TNF-A,Decrease,Pat1Micsta,Tissue destruction,positive regulation of extrinsic apoptotic signaling pathway
TNF-A,Decrease,Pat1Micsta,Resolution,negative regulation of extrinsic apoptotic signaling pathway in absence of ligand
VEGF,Decrease,Pat1Micsta,Resolution,negative regulation of transcription by RNA polymerase II
VEGF,Decrease,Pat1Micsta,Tissue construction / repair,angiogenesis
VEGF,Decrease,Pat1Micsta,Immune cell amplification,endothelial cell proliferation
VEGF,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of endothelial cell proliferation
VEGF,Decrease,Pat1Micsta,Tissue construction / repair,lymphangiogenesis
VEGF,Decrease,Pat1Micsta,Tissue construction / repair,sprouting angiogenesis
VEGF,Decrease,Pat1Micsta,Immune cell positioning,cell migration involved in sprouting angiogenesis
VEGF,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of neuroblast proliferation
VEGF,Decrease,Pat1Micsta,Tissue construction / repair,epithelial cell maturation
VEGF,Decrease,Pat1Micsta,Immune cell positioning,basophil chemotaxis
VEGF,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of leukocyte migration
VEGF,Decrease,Pat1Micsta,Tissue destruction,apoptotic process
VEGF,Decrease,Pat1Micsta,Immune cell amplification,neuroblast proliferation
VEGF,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of cell population proliferation
VEGF,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of endothelial cell migration
VEGF,Decrease,Pat1Micsta,Resolution,negative regulation of gene expression
VEGF,Decrease,Pat1Micsta,Resolution,negative regulation of epithelial to mesenchymal transition
VEGF,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of cell migration
VEGF,Decrease,Pat1Micsta,Tissue construction / repair,epithelial cell differentiation
VEGF,Decrease,Pat1Micsta,Immune cell positioning,endothelial cell chemotaxis
VEGF,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway
VEGF,Decrease,Pat1Micsta,Immune cell amplification,positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway
VEGF,Decrease,Pat1Micsta,Resolution,negative regulation of apoptotic process
VEGF,Decrease,Pat1Micsta,Immune cell positioning,positive regulation of blood vessel endothelial cell migration
VEGF,Decrease,Pat1Micsta,Resolution,negative regulation of fat cell differentiation
VEGF,Decrease,Pat1Micsta,Bone remodeling,positive regulation of osteoblast differentiation
