"Panel_Name","SYMBOL","TERM","Major_Functional_Class"
"IL-1B","IL1B","negative regulation of lipid catabolic process","Resolution"
"IL-1B","IL1B","positive regulation of membrane protein ectodomain proteolysis","Tissue destruction"
"IL-1B","IL1B","positive regulation of glial cell proliferation","Immune cell amplification"
"IL-1B","IL1B","negative regulation of adiponectin secretion","Resolution"
"IL-1B","IL1B","extrinsic apoptotic signaling pathway in absence of ligand","Tissue destruction"
"IL-1B","IL1B","negative regulation of gap junction assembly","Resolution"
"IL-1B","IL1B","positive regulation of T-helper 1 cell cytokine production","Immune cell activation"
"IL-1B","IL1B","negative regulation of extrinsic apoptotic signaling pathway in absence of ligand","Tissue destruction"
"IL-2","IL2","leukocyte activation involved in immune response","Immune cell activation"
"IL-2","IL2","negative regulation of B cell apoptotic process","Tissue destruction"
"IL-2","IL2","positive regulation of cell population proliferation","Immune cell amplification"
"IL-2","IL2","natural killer cell activation","Immune cell activation"
"IL-2","IL2","positive regulation of B cell proliferation","Immune cell amplification"
"IL-2","IL2","positive regulation of activated T cell proliferation","Immune cell amplification"
"IL-2","IL2","negative regulation of apoptotic process","Tissue destruction"
"IL-2","IL2","regulation of T cell homeostatic proliferation","Immune cell amplification"
"IL-2","IL2","negative regulation of lymphocyte proliferation","Immune cell amplification"
"IL-2","IL2","negative regulation of inflammatory response","Resolution"
"IL-2","IL2","activated T cell proliferation","Immune cell amplification"
"IL-2","IL2","extrinsic apoptotic signaling pathway in absence of ligand","Tissue destruction"
"IL-2","IL2","negative regulation of T-helper 17 cell differentiation","Resolution"
"IL-2","IL2","regulation of CD4-positive, alpha-beta T cell proliferation","Immune cell amplification"
"IL-6","IL6","neutrophil apoptotic process","Tissue destruction"
"IL-6","IL6","monocyte chemotaxis","Immune cell positioning"
"IL-6","IL6","positive regulation of leukocyte chemotaxis","Immune cell positioning"
"IL-6","IL6","cell surface receptor signaling pathway via JAK-STAT","Immune cell activation"
"IL-6","IL6","positive regulation of cell population proliferation","Immune cell amplification"
"IL-6","IL6","negative regulation of cell population proliferation","Immune cell amplification"
"IL-6","IL6","positive regulation of epithelial to mesenchymal transition","Tissue construction / repair"
"IL-6","IL6","negative regulation of lipid storage","Resolution"
"IL-6","IL6","platelet activation","Immune cell activation"
"IL-6","IL6","negative regulation of chemokine production","Resolution"
"IL-6","IL6","negative regulation of collagen biosynthetic process","Resolution"
"IL-6","IL6","positive regulation of T cell proliferation","Immune cell amplification"
"IL-6","IL6","positive regulation of apoptotic process","Tissue destruction"
"IL-6","IL6","negative regulation of apoptotic process","Tissue destruction"
"IL-6","IL6","negative regulation of fat cell differentiation","Resolution"
"IL-6","IL6","positive regulation of osteoblast differentiation","Bone remodeling"
"IL-6","IL6","negative regulation of bone resorption","Resolution"
"IL-6","IL6","positive regulation of receptor signaling pathway via JAK-STAT","Immune cell activation"
"IL-6","IL6","positive regulation of smooth muscle cell proliferation","Immune cell amplification"
"IL-6","IL6","negative regulation of neurogenesis","Resolution"
"IL-6","IL6","positive regulation of B cell activation","Immune cell activation"
"IL-6","IL6","positive regulation of glial cell proliferation","Immune cell amplification"
"IL-6","IL6","regulation of astrocyte activation","Immune cell activation"
"IL-6","IL6","hepatocyte proliferation","Immune cell amplification"
"IL-6","IL6","liver regeneration","Tissue construction / repair"
"IL-6","IL6","positive regulation of cytokine production involved in inflammatory response","Immune cell activation"
"IL-6","IL6","positive regulation of apoptotic DNA fragmentation","Tissue destruction"
"IL-6","IL6","regulation of microglial cell activation","Immune cell activation"
"IL-6","IL6","positive regulation of T-helper 2 cell cytokine production","Immune cell activation"
"IL-6","IL6","negative regulation of primary miRNA processing","Resolution"
"IL-6","IL6","negative regulation of interleukin-1-mediated signaling pathway","Resolution"
"IL-6","IL6","positive regulation of type B pancreatic cell apoptotic process","Tissue destruction"
"IL-7","IL7","positive regulation of cell population proliferation","Immune cell amplification"
"IL-7","IL7","positive regulation of B cell proliferation","Immune cell amplification"
"IL-7","IL7","B cell proliferation","Immune cell amplification"
"IL-7","IL7","negative regulation of apoptotic process","Tissue destruction"
"IL-7","IL7","extrinsic apoptotic signaling pathway","Tissue destruction"
"IL-7","IL7","negative regulation of extrinsic apoptotic signaling pathway in absence of ligand","Tissue destruction"
"IL-8","CXCL8","chemotaxis","Immune cell positioning"
"IL-8","CXCL8","negative regulation of cell population proliferation","Immune cell amplification"
"IL-8","CXCL8","negative regulation of gene expression","Resolution"
"IL-8","CXCL8","neutrophil chemotaxis","Immune cell positioning"
"IL-8","CXCL8","neutrophil activation","Immune cell activation"
"IL-8","CXCL8","negative regulation of G protein-coupled receptor signaling pathway","Resolution"
"IL-8","CXCL8","induction of positive chemotaxis","Immune cell positioning"
"IL-8","CXCL8","negative regulation of cell adhesion molecule production","Resolution"
"IL-8","CXCL8","positive regulation of neutrophil chemotaxis","Immune cell positioning"
"IP-10","CXCL10","chemotaxis","Immune cell positioning"
"IP-10","CXCL10","positive regulation of cell population proliferation","Immune cell amplification"
"IP-10","CXCL10","T cell chemotaxis","Immune cell positioning"
"IP-10","CXCL10","regulation of T cell chemotaxis","Immune cell positioning"
"IP-10","CXCL10","negative regulation of angiogenesis","Resolution"
"IP-10","CXCL10","neutrophil chemotaxis","Immune cell positioning"
"IP-10","CXCL10","endothelial cell activation","Immune cell activation"
"IP-10","CXCL10","regulation of cell population proliferation","Immune cell amplification"
"IP-10","CXCL10","regulation of apoptotic process","Tissue destruction"
"IP-10","CXCL10","negative regulation of myoblast differentiation","Resolution"
"IP-10","CXCL10","positive chemotaxis","Immune cell positioning"
"IP-10","CXCL10","positive regulation of monocyte chemotaxis","Immune cell positioning"
"IP-10","CXCL10","negative regulation of myoblast fusion","Resolution"
"IP-10","CXCL10","positive regulation of T cell migration","Immune cell positioning"
"MCP-1","CCL2","monocyte chemotaxis","Immune cell positioning"
"MCP-1","CCL2","chemotaxis","Immune cell positioning"
"MCP-1","CCL2","cell surface receptor signaling pathway via JAK-STAT","Immune cell activation"
"MCP-1","CCL2","positive regulation of cell migration","Immune cell positioning"
"MCP-1","CCL2","negative regulation of glial cell apoptotic process","Tissue destruction"
"MCP-1","CCL2","negative regulation of neuron apoptotic process","Tissue destruction"
"MCP-1","CCL2","astrocyte cell migration","Immune cell positioning"
"MCP-1","CCL2","eosinophil chemotaxis","Immune cell positioning"
"MCP-1","CCL2","macrophage chemotaxis","Immune cell positioning"
"MCP-1","CCL2","positive regulation of T cell activation","Immune cell activation"
"MCP-1","CCL2","negative regulation of vascular endothelial cell proliferation","Immune cell amplification"
"MCP-1","CCL2","negative regulation of G1/S transition of mitotic cell cycle","Resolution"
"MCP-1","CCL2","positive regulation of endothelial cell apoptotic process","Tissue destruction"
"MCP-1","CCL2","positive regulation of apoptotic cell clearance","Tissue destruction"
"MCP-1","CCL2","negative regulation of natural killer cell chemotaxis","Immune cell positioning"
"MIP-1A","CCL3","osteoblast differentiation","Bone remodeling"
"MIP-1A","CCL3","cell activation","Immune cell activation"
"MIP-1A","CCL3","monocyte chemotaxis","Immune cell positioning"
"MIP-1A","CCL3","chemotaxis","Immune cell positioning"
"MIP-1A","CCL3","negative regulation of gene expression","Resolution"
"MIP-1A","CCL3","T cell chemotaxis","Immune cell positioning"
"MIP-1A","CCL3","positive regulation of cell migration","Immune cell positioning"
"MIP-1A","CCL3","negative regulation of bone mineralization","Resolution"
"MIP-1A","CCL3","neutrophil chemotaxis","Immune cell positioning"
"MIP-1A","CCL3","positive regulation of neuron apoptotic process","Tissue destruction"
"MIP-1A","CCL3","astrocyte cell migration","Immune cell positioning"
"MIP-1A","CCL3","negative regulation by host of viral transcription","Resolution"
"MIP-1A","CCL3","negative regulation of osteoclast differentiation","Resolution"
"MIP-1A","CCL3","eosinophil chemotaxis","Immune cell positioning"
"MIP-1A","CCL3","macrophage chemotaxis","Immune cell positioning"
"MIP-1A","CCL3","lymphocyte chemotaxis","Immune cell positioning"
"MIP-1A","CCL3","positive chemotaxis","Immune cell positioning"
"MIP-1A","CCL3","cell chemotaxis","Immune cell positioning"
"MIP-1A","CCL3","granulocyte chemotaxis","Immune cell positioning"
"MIP-1A","CCL3","positive regulation of microglial cell activation","Immune cell activation"
"MIP-1A","CCL3","positive regulation of microglial cell migration","Immune cell positioning"
"MIP-1A","CCL3","positive regulation of natural killer cell chemotaxis","Immune cell positioning"
"MIP-1B","CCL4","positive regulation of cell migration","Immune cell positioning"
"MIP-1B","CCL4","negative regulation by host of viral transcription","Resolution"
"MIP-1B","CCL4","eosinophil chemotaxis","Immune cell positioning"
"MIP-1B","CCL4","positive regulation of natural killer cell chemotaxis","Immune cell positioning"
"RANTES","CCL5","dendritic cell chemotaxis","Immune cell positioning"
"RANTES","CCL5","monocyte chemotaxis","Immune cell positioning"
"RANTES","CCL5","chemotaxis","Immune cell positioning"
"RANTES","CCL5","positive regulation of macrophage chemotaxis","Immune cell positioning"
"RANTES","CCL5","positive regulation of T cell chemotaxis","Immune cell positioning"
"RANTES","CCL5","positive regulation of smooth muscle cell migration","Immune cell positioning"
"RANTES","CCL5","positive regulation of cell migration","Immune cell positioning"
"RANTES","CCL5","activation of phospholipase D activity","Immune cell activation"
"RANTES","CCL5","positive regulation of T cell proliferation","Immune cell amplification"
"RANTES","CCL5","neutrophil activation","Immune cell activation"
"RANTES","CCL5","negative regulation by host of viral transcription","Resolution"
"RANTES","CCL5","negative regulation of viral genome replication","Resolution"
"RANTES","CCL5","negative regulation of G protein-coupled receptor signaling pathway","Resolution"
"RANTES","CCL5","eosinophil chemotaxis","Immune cell positioning"
"RANTES","CCL5","macrophage chemotaxis","Immune cell positioning"
"RANTES","CCL5","positive regulation of smooth muscle cell proliferation","Immune cell amplification"
"RANTES","CCL5","epithelial cell proliferation","Immune cell amplification"
"RANTES","CCL5","positive regulation of epithelial cell proliferation","Immune cell amplification"
"RANTES","CCL5","regulation of T cell activation","Immune cell activation"
"RANTES","CCL5","positive chemotaxis","Immune cell positioning"
"RANTES","CCL5","negative regulation of chemokine-mediated signaling pathway","Resolution"
"RANTES","CCL5","negative regulation of T cell apoptotic process","Tissue destruction"
"RANTES","CCL5","positive regulation of T cell apoptotic process","Tissue destruction"
"RANTES","CCL5","positive regulation of monocyte chemotaxis","Immune cell positioning"
"RANTES","CCL5","negative regulation of macrophage apoptotic process","Tissue destruction"
"RANTES","CCL5","positive regulation of T cell migration","Immune cell positioning"
"RANTES","CCL5","positive regulation of natural killer cell chemotaxis","Immune cell positioning"
"TNF-A","TNF","negative regulation of transcription by RNA polymerase II","Resolution"
"TNF-A","TNF","microglial cell activation","Immune cell activation"
"TNF-A","TNF","positive regulation of cytokine production","Immune cell activation"
"TNF-A","TNF","negative regulation of endothelial cell proliferation","Immune cell amplification"
"TNF-A","TNF","negative regulation of L-glutamate import across plasma membrane","Resolution"
"TNF-A","TNF","macrophage activation involved in immune response","Immune cell activation"
"TNF-A","TNF","leukocyte migration involved in inflammatory response","Immune cell positioning"
"TNF-A","TNF","negative regulation of cytokine production involved in immune response","Immune cell activation"
"TNF-A","TNF","negative regulation of systemic arterial blood pressure","Resolution"
"TNF-A","TNF","cell surface receptor signaling pathway via JAK-STAT","Immune cell activation"
"TNF-A","TNF","extrinsic apoptotic signaling pathway via death domain receptors","Tissue destruction"
"TNF-A","TNF","intrinsic apoptotic signaling pathway in response to DNA damage","Tissue destruction"
"TNF-A","TNF","negative regulation of heart rate","Resolution"
"TNF-A","TNF","negative regulation of gene expression","Resolution"
"TNF-A","TNF","negative regulation of lipid storage","Resolution"
"TNF-A","TNF","extracellular matrix organization","Tissue construction / repair"
"TNF-A","TNF","osteoclast differentiation","Bone remodeling"
"TNF-A","TNF","negative regulation of myelination","Resolution"
"TNF-A","TNF","negative regulation of interleukin-6 production","Resolution"
"TNF-A","TNF","positive regulation of apoptotic process","Tissue destruction"
"TNF-A","TNF","negative regulation of protein-containing complex disassembly","Resolution"
"TNF-A","TNF","positive regulation of neuron apoptotic process","Tissue destruction"
"TNF-A","TNF","negative regulation of blood vessel endothelial cell migration","Immune cell positioning"
"TNF-A","TNF","negative regulation of viral genome replication","Resolution"
"TNF-A","TNF","negative regulation of fat cell differentiation","Resolution"
"TNF-A","TNF","negative regulation of myoblast differentiation","Resolution"
"TNF-A","TNF","negative regulation of osteoblast differentiation","Resolution"
"TNF-A","TNF","positive regulation of osteoclast differentiation","Bone remodeling"
"TNF-A","TNF","negative regulation of DNA-templated transcription","Resolution"
"TNF-A","TNF","negative regulation of mitotic cell cycle","Resolution"
"TNF-A","TNF","negative regulation of D-glucose import","Resolution"
"TNF-A","TNF","astrocyte activation","Immune cell activation"
"TNF-A","TNF","positive regulation of smooth muscle cell proliferation","Immune cell amplification"
"TNF-A","TNF","negative regulation of neurogenesis","Resolution"
"TNF-A","TNF","negative regulation of lipid catabolic process","Resolution"
"TNF-A","TNF","positive regulation of membrane protein ectodomain proteolysis","Tissue destruction"
"TNF-A","TNF","positive regulation of glial cell proliferation","Immune cell amplification"
"TNF-A","TNF","epithelial cell proliferation involved in salivary gland morphogenesis","Immune cell amplification"
"TNF-A","TNF","negative regulation of vascular wound healing","Resolution"
"TNF-A","TNF","negative regulation of branching involved in lung morphogenesis","Resolution"
"TNF-A","TNF","positive regulation of mononuclear cell migration","Immune cell positioning"
"TNF-A","TNF","endothelial cell apoptotic process","Tissue destruction"
"TNF-A","TNF","negative regulation of oxidative phosphorylation","Resolution"
"TNF-A","TNF","extrinsic apoptotic signaling pathway","Tissue destruction"
"TNF-A","TNF","liver regeneration","Tissue construction / repair"
"TNF-A","TNF","negative regulation of bile acid secretion","Resolution"
"TNF-A","TNF","positive regulation of cytokine production involved in inflammatory response","Immune cell activation"
"TNF-A","TNF","negative regulation of amyloid-beta clearance","Resolution"
"TNF-A","TNF","positive regulation of synoviocyte proliferation","Immune cell amplification"
"TNF-A","TNF","positive regulation of neutrophil activation","Immune cell activation"
"TNF-A","TNF","negative regulation of miRNA transcription","Resolution"
"TNF-A","TNF","negative regulation of bicellular tight junction assembly","Resolution"
"TNF-A","TNF","positive regulation of vascular associated smooth muscle cell proliferation","Immune cell amplification"
"TNF-A","TNF","negative regulation of signaling receptor activity","Resolution"
"TNF-A","TNF","positive regulation of hepatocyte proliferation","Immune cell amplification"
"TNF-A","TNF","regulation of endothelial cell apoptotic process","Tissue destruction"
"TNF-A","TNF","negative regulation of apoptotic signaling pathway","Tissue destruction"
"TNF-A","TNF","positive regulation of extrinsic apoptotic signaling pathway","Tissue destruction"
"TNF-A","TNF","negative regulation of extrinsic apoptotic signaling pathway in absence of ligand","Tissue destruction"
"VEGF","VEGFA","negative regulation of transcription by RNA polymerase II","Resolution"
"VEGF","VEGFA","endothelial cell proliferation","Immune cell amplification"
"VEGF","VEGFA","positive regulation of endothelial cell proliferation","Immune cell amplification"
"VEGF","VEGFA","cell migration involved in sprouting angiogenesis","Immune cell positioning"
"VEGF","VEGFA","positive regulation of neuroblast proliferation","Immune cell amplification"
"VEGF","VEGFA","epithelial cell maturation","Tissue construction / repair"
"VEGF","VEGFA","basophil chemotaxis","Immune cell positioning"
"VEGF","VEGFA","positive regulation of leukocyte migration","Immune cell positioning"
"VEGF","VEGFA","apoptotic process","Tissue destruction"
"VEGF","VEGFA","neuroblast proliferation","Immune cell amplification"
"VEGF","VEGFA","positive regulation of cell population proliferation","Immune cell amplification"
"VEGF","VEGFA","positive regulation of endothelial cell migration","Immune cell positioning"
"VEGF","VEGFA","negative regulation of gene expression","Resolution"
"VEGF","VEGFA","negative regulation of epithelial to mesenchymal transition","Resolution"
"VEGF","VEGFA","positive regulation of cell migration","Immune cell positioning"
"VEGF","VEGFA","epithelial cell differentiation","Tissue construction / repair"
"VEGF","VEGFA","endothelial cell chemotaxis","Immune cell positioning"
"VEGF","VEGFA","positive regulation of endothelial cell chemotaxis by VEGF-activated vascular endothelial growth factor receptor signaling pathway","Immune cell positioning"
"VEGF","VEGFA","positive regulation of cell proliferation by VEGF-activated platelet derived growth factor receptor signaling pathway","Immune cell amplification"
"VEGF","VEGFA","negative regulation of apoptotic process","Tissue destruction"
"VEGF","VEGFA","positive regulation of blood vessel endothelial cell migration","Immune cell positioning"
"VEGF","VEGFA","negative regulation of fat cell differentiation","Resolution"
"VEGF","VEGFA","positive regulation of osteoblast differentiation","Bone remodeling"
"VEGF","VEGFA","positive regulation of epithelial cell proliferation","Immune cell amplification"
"VEGF","VEGFA","positive chemotaxis","Immune cell positioning"
"VEGF","VEGFA","positive regulation of positive chemotaxis","Immune cell positioning"
"VEGF","VEGFA","induction of positive chemotaxis","Immune cell positioning"
"VEGF","VEGFA","positive regulation of mast cell chemotaxis","Immune cell positioning"
"VEGF","VEGFA","vascular wound healing","Tissue construction / repair"
"VEGF","VEGFA","positive regulation of cell migration involved in sprouting angiogenesis","Immune cell positioning"
"VEGF","VEGFA","motor neuron migration","Immune cell positioning"
"VEGF","VEGFA","positive regulation of trophoblast cell migration","Immune cell positioning"
"VEGF","VEGFA","negative regulation of miRNA transcription","Resolution"
"VEGF","VEGFA","negative regulation of establishment of endothelial barrier","Resolution"
"VEGF","VEGFA","negative regulation of adherens junction organization","Resolution"
"VEGF","VEGFA","positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis","Immune cell amplification"
"VEGF","VEGFA","positive regulation of epithelial tube formation","Tissue construction / repair"
"VEGF","VEGFA","negative regulation of blood-brain barrier permeability","Resolution"
"VEGF","VEGFA","negative regulation of cell-cell adhesion mediated by cadherin","Resolution"
"VEGF","VEGFA","positive regulation of endothelial cell chemotaxis","Immune cell positioning"
"MMP-1","MMP1","proteolysis","Tissue destruction"
"MMP-1","MMP1","extracellular matrix organization","Tissue construction / repair"
"MMP-2","MMP2","proteolysis","Tissue destruction"
"MMP-2","MMP2","negative regulation of cell adhesion","Resolution"
"MMP-2","MMP2","peripheral nervous system axon regeneration","Tissue construction / repair"
"MMP-2","MMP2","cell migration","Immune cell positioning"
"MMP-2","MMP2","extracellular matrix organization","Tissue construction / repair"
"MMP-2","MMP2","positive regulation of cell migration","Immune cell positioning"
"MMP-2","MMP2","negative regulation of vasoconstriction","Resolution"
"MMP-2","MMP2","macrophage chemotaxis","Immune cell positioning"
"MMP-2","MMP2","positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway","Tissue destruction"
"MMP-2","MMP2","positive regulation of vascular associated smooth muscle cell proliferation","Immune cell amplification"
"MMP-9","MMP9","proteolysis","Tissue destruction"
"MMP-9","MMP9","apoptotic process","Tissue destruction"
"MMP-9","MMP9","cell migration","Immune cell positioning"
"MMP-9","MMP9","extracellular matrix organization","Tissue construction / repair"
"MMP-9","MMP9","positive regulation of apoptotic process","Tissue destruction"
"MMP-9","MMP9","negative regulation of apoptotic process","Tissue destruction"
"MMP-9","MMP9","positive regulation of keratinocyte migration","Immune cell positioning"
"MMP-9","MMP9","positive regulation of vascular associated smooth muscle cell proliferation","Immune cell amplification"
"MMP-9","MMP9","negative regulation of epithelial cell differentiation involved in kidney development","Resolution"
"MMP-9","MMP9","negative regulation of intrinsic apoptotic signaling pathway","Tissue destruction"
"MMP-9","MMP9","negative regulation of cation channel activity","Resolution"
"MMP-10","MMP10","proteolysis","Tissue destruction"
"MMP-10","MMP10","extracellular matrix organization","Tissue construction / repair"
"RANKL","TNFSF11","negative regulation of transcription by RNA polymerase II","Resolution"
"RANKL","TNFSF11","osteoclast proliferation","Immune cell amplification"
"RANKL","TNFSF11","monocyte chemotaxis","Immune cell positioning"
"RANKL","TNFSF11","osteoclast differentiation","Bone remodeling"
"RANKL","TNFSF11","mammary gland epithelial cell proliferation","Immune cell amplification"
"RANKL","TNFSF11","osteoclast development","Bone remodeling"
"RANKL","TNFSF11","positive regulation of osteoclast differentiation","Bone remodeling"
"RANKL","TNFSF11","positive regulation of T cell activation","Immune cell activation"
"RANKL","TNFSF11","positive regulation of osteoclast development","Bone remodeling"
"RANKL","TNFSF11","positive regulation of extrinsic apoptotic signaling pathway","Tissue destruction"
"GDF-15","GDF15","negative regulation of leukocyte migration","Immune cell positioning"
"GDF-15","GDF15","negative regulation of transforming growth factor beta receptor signaling pathway","Resolution"
"GDF-15","GDF15","negative regulation of appetite","Resolution"
"GDF-15","GDF15","negative regulation of multicellular organism growth","Resolution"
"GDF-15","GDF15","negative regulation of SMAD protein signal transduction","Resolution"
"GDF-15","GDF15","negative regulation of growth hormone receptor signaling pathway","Resolution"
"DKK1","DKK1","negative regulation of transcription by RNA polymerase II","Resolution"
"DKK1","DKK1","negative regulation of neuron projection development","Resolution"
"DKK1","DKK1","negative regulation of Wnt signaling pathway","Resolution"
"DKK1","DKK1","negative regulation of ossification","Resolution"
"DKK1","DKK1","negative regulation of BMP signaling pathway","Resolution"
"DKK1","DKK1","negative regulation of protein binding","Resolution"
"DKK1","DKK1","negative regulation of peptidyl-serine phosphorylation","Resolution"
"DKK1","DKK1","negative regulation of mesodermal cell fate specification","Resolution"
"DKK1","DKK1","negative regulation of apoptotic process","Tissue destruction"
"DKK1","DKK1","regulation of neuron apoptotic process","Tissue destruction"
"DKK1","DKK1","negative regulation of SMAD protein signal transduction","Resolution"
"DKK1","DKK1","negative regulation of canonical Wnt signaling pathway","Resolution"
"DKK1","DKK1","negative regulation of Wnt-Frizzled-LRP5/6 complex assembly","Resolution"
"DKK1","DKK1","negative regulation of presynapse assembly","Resolution"
"DKK1","DKK1","negative regulation of cardiac muscle cell differentiation","Resolution"
"Periostin","POSTN","negative regulation of cell-matrix adhesion","Resolution"
"Periostin","POSTN","positive regulation of smooth muscle cell migration","Immune cell positioning"
"Periostin","POSTN","extracellular matrix organization","Tissue construction / repair"
"Periostin","POSTN","negative regulation of substrate adhesion-dependent cell spreading","Resolution"
"Periostin","POSTN","bone regeneration","Tissue construction / repair"
"TRAP5","ACP5","negative regulation of macrophage cytokine production","Immune cell activation"
"TRAP5","ACP5","negative regulation of interleukin-1 beta production","Resolution"
"TRAP5","ACP5","negative regulation of interleukin-12 production","Resolution"
"TRAP5","ACP5","negative regulation of tumor necrosis factor production","Resolution"
"TRAP5","ACP5","negative regulation of superoxide anion generation","Resolution"
"TRAP5","ACP5","negative regulation of nitric oxide biosynthetic process","Resolution"
"TRAP5","ACP5","negative regulation of inflammatory response","Resolution"
"OPG","TNFRSF11B","apoptotic process","Tissue destruction"
"OPG","TNFRSF11B","negative regulation of tumor necrosis factor-mediated signaling pathway","Resolution"
"OPG","TNFRSF11B","extracellular matrix organization","Tissue construction / repair"
"OPG","TNFRSF11B","negative regulation of odontogenesis of dentin-containing tooth","Resolution"
"OPG","TNFRSF11B","negative regulation of osteoclast differentiation","Resolution"
"OPG","TNFRSF11B","negative regulation of bone resorption","Resolution"
"YKL40","CHI3L1","apoptotic process","Tissue destruction"
"YKL40","CHI3L1","activation of NF-kappaB-inducing kinase activity","Immune cell activation"
